level1_allgroups,level2_allgroups,level3_AID,level3_CNC,level3_CSC,level3_BIF,level4_CNC,level4_AID,level4_CSC,level4_BIF
LRA401,LRA403,CNC311,CNC312,CNC311,CNC311,CNC419,AID414,CSC415,BIF412
LRA101,MTH211,AID312,CNC311,AID312,AID312,CNC418,AID428,CSC426,BIF411
MTH111,ACM215,CNC314,AID312,CNC314,CNC314,CNC411,AID417,CSC410,BIF413
PHY111,CNC111,AID311,CNC314,CSC317,CSC317,CNC415,AID413,CSC414,BIF425
CSC111,CSC211,CSC317,CSC317,ECE324,ECE324,CNC413,AID427,CSC412,BIF410
ECE221,CSE311,ECE324,ECE324,CSC314,BIF311,CNC414,AID411,CSC413,BIF424
LRA104,LRA306,-,-,-,CSC315,CNC324,AID321,CSC411,-
